data,algorithm,time,alpha,nmi,ari,#com
d_avg_30,CMS,303.41024804115295,0.3,0.6631686154990981,0.2293966356842613,31
d_avg_30,CMS,303.91830587387085,0.4,0.614241897955596,0.14689664261461888,31
d_avg_30,CMS,304.3664548397064,0.5,0.6342352248983978,0.1816361081317875,31
d_avg_30,CMS,304.3692457675934,0.1,0.7176544522407338,0.3937731688315325,31
d_avg_30,CMS,304.50131487846375,0.6,0.6229523965722951,0.1975694635140396,31
d_avg_30,CMS,304.42603278160095,0.7,0.6389019640704338,0.19040258584329234,31
d_avg_30,CMS,305.1291630268097,0.8,0.6329267955934103,0.18597574783242105,31
d_max_100,CMS,279.3759059906006,0.5,0.4868575308193681,0.03676783255193312,39
d_max_100,CMS,280.31135511398315,1.0,0.4868167102077069,0.03673131487311638,39
d_max_100,CMS,281.4211459159851,0.7,0.4893501924736021,0.03722710377708284,39
d_max_100,CMS,285.11899495124817,0.0,0.931534992011514,0.8620560121948782,39
d_max_100,CMS,285.3829381465912,0.4,0.49438942389194124,0.038981869031157815,39
d_max_100,CMS,285.59408807754517,0.3,0.5022077480657692,0.04178889763968838,39
d_max_100,CMS,285.8301627635956,0.8,0.4893501924736021,0.03722710377708284,39
d_max_100,CMS,286.3833239078522,0.9,0.4893501924736021,0.03722710377708284,39
d_max_100,CMS,286.78846621513367,0.1,0.5392767364972635,0.09212268234122298,39
d_max_100,CMS,287.3213529586792,0.6,0.4868575308193681,0.03676783255193312,39
d_max_100,CMS,288.7774569988251,0.2,0.5117967837710535,0.05617691517089991,39
d_max_150,CMS,267.7762198448181,0.0,0.9177838836262967,0.9103582557139497,38
d_max_150,CMS,274.78138422966003,0.3,0.29993444536255365,0.02298720493368767,38
d_max_150,CMS,281.4035391807556,1.0,0.3024410943740522,0.024474029936033908,38
d_max_150,CMS,282.09198689460754,0.8,0.3040734249548747,0.024787413165841307,38
d_max_150,CMS,282.7125701904297,0.5,0.330767902082174,0.025595931216555835,38
d_max_150,CMS,282.88142681121826,0.4,0.31189483786819705,0.030219015395843003,38
d_max_150,CMS,282.96764397621155,0.2,0.3207709991765758,0.04403515124131752,38
d_max_150,CMS,283.1841809749603,0.7,0.3101765435725008,0.02656213734943208,38
d_max_150,CMS,283.95064401626587,0.9,0.29757362155522626,0.024184860795979878,38
d_max_150,CMS,284.416775226593,0.6,0.3198116320123369,0.026883049594275114,38
d_max_150,CMS,285.2167501449585,0.1,0.34175966911853634,0.06771544143465036,38
d_max_200,CMS,267.7214608192444,0.7,0.4143909648040012,0.0312904920326185,34
d_max_200,CMS,281.88545775413513,0.5,0.4154353098875215,0.03149348395135923,34
d_max_200,CMS,282.1217360496521,0.4,0.4288334097787282,0.028435543880082858,34
d_max_200,CMS,282.1726019382477,1.0,0.41942993892009844,0.03294794677200063,34
d_max_200,CMS,282.3227388858795,0.6,0.4154353098875215,0.03149348395135923,34
d_max_200,CMS,282.5512309074402,0.8,0.41942993892009844,0.03294794677200063,34
d_max_200,CMS,283.05024099349976,0.3,0.4429530180175764,0.035547936733389435,34
d_max_200,CMS,283.4949207305908,0.9,0.41942993892009844,0.03294794677200063,34
d_max_200,CMS,283.7015211582184,0.2,0.43357309533786526,0.056309935518566924,34
d_max_200,CMS,284.323853969574,0.1,0.45618833729174163,0.08010260667816053,34
d_max_200,CMS,287.7332229614258,0.0,0.8754829652174638,0.795836398009618,34
mu_0.1,CMS,278.2663459777832,0.7,0.5958512795768819,0.1404681351653771,27
mu_0.1,CMS,279.8499939441681,0.6,0.5987183495560453,0.1430767971165288,27
mu_0.1,CMS,282.7774362564087,1.0,0.5952823426126468,0.14033845522456137,27
mu_0.1,CMS,283.28164505958557,0.1,0.7357655683131972,0.450189661969069,27
mu_0.1,CMS,284.19254994392395,0.3,0.6333563743018904,0.1854357075666616,27
mu_0.1,CMS,284.5059938430786,0.9,0.5922951721231077,0.13724200997367209,27
mu_0.1,CMS,284.88384914398193,0.2,0.6480815108001773,0.24614157552167948,27
mu_0.1,CMS,284.94383001327515,0.8,0.5958512795768819,0.1404681351653771,27
mu_0.1,CMS,285.96294808387756,0.0,0.9618659564282181,0.9348172793576152,27
mu_0.1,CMS,286.10814571380615,0.5,0.5987183495560453,0.1430767971165288,27
mu_0.1,CMS,286.50711393356323,0.4,0.650480537745334,0.21083917964207938,27
mu_0.3,CMS,263.673259973526,0.0,0.9166979456030246,0.8346973016335977,34
mu_0.3,CMS,280.8163540363312,0.4,0.48805181134453596,0.039822634829227335,34
mu_0.3,CMS,282.4625298976898,0.9,0.47778292303936165,0.04225459442395058,34
mu_0.3,CMS,282.8002281188965,0.5,0.4707420413558978,0.03751525656010953,34
mu_0.3,CMS,286.0240387916565,1.0,0.47488695354435145,0.04186318875808595,34
mu_0.3,CMS,287.1171820163727,0.3,0.48805181134453596,0.039822634829227335,34
mu_0.3,CMS,287.5429427623749,0.7,0.4706727281247858,0.0373936894376727,34
mu_0.3,CMS,287.8847849369049,0.2,0.4905956182480975,0.08158454209196106,34
mu_0.3,CMS,288.4388310909271,0.8,0.47778292303936165,0.04225459442395058,34
mu_0.3,CMS,288.7591600418091,0.1,0.4968366863054133,0.08465150768518716,34
mu_0.3,CMS,292.582218170166,0.6,0.4707420413558978,0.03751525656010953,34
mu_0.5,CMS,262.2042338848114,0.2,0.28927448897244784,0.01088500020682819,50
mu_0.5,CMS,267.9130220413208,0.0,0.8642237893723741,0.7849527795020194,50
mu_0.5,CMS,268.5912480354309,1.0,0.2855780991756715,0.008782154417698201,50
mu_0.5,CMS,271.59828090667725,0.5,0.2882502986524056,0.009357957751293808,50
mu_0.5,CMS,277.9843602180481,0.7,0.286913030269017,0.010986959392521221,50
mu_0.5,CMS,278.143257856369,0.4,0.29076703722086555,0.01061687300851176,50
mu_0.5,CMS,278.76080989837646,0.9,0.286913030269017,0.010986959392521221,50
mu_0.5,CMS,278.7795579433441,0.3,0.2904508841417641,0.009905352644776232,50
mu_0.5,CMS,279.1776978969574,0.8,0.286913030269017,0.010986959392521221,50
mu_0.5,CMS,279.64509415626526,0.1,0.2812352259487484,0.009799497307704878,50
mu_0.5,CMS,280.2224109172821,0.6,0.29076703722086555,0.01061687300851176,50
d_avg_10,CMS,146.60034680366516,0.2962307929992676,0.0,0.8528492889978583,0.7887144384928692,35
d_avg_10,CMS,147.03583073616028,0.24273681640625,0.1,0.24631962657270162,0.020572671326203273,35
d_avg_20,CMS,159.59615278244019,0.38645100593566895,0.1,0.34817059896956565,0.05457822947512651,34
d_max_100,CMS,160.08402824401855,0.39455509185791016,0.1,0.5392767364972635,0.09212268234122298,39
d_avg_30,CMS,174.50356197357178,0.7126140594482422,0.1,0.7176544522407338,0.3937731688315325,31
d_max_150,CMS,156.14909410476685,0.38241004943847656,0.1,0.34175966911853634,0.06771544143465036,38
d_max_100,CMS,355.5638687610626,0.45370912551879883,0.1,0.5339814162856967,0.09371107137991765,34
d_max_200,CMS,351.2051978111267,0.5763628482818604,0.1,0.45618833729174163,0.08010260667816053,34
