dd,,,,ff,,,,,,,
karate,CMS,1.405216217,0.6,0.225966602,0.10954057,0.1575,2,"[3, 8]",5.5,"[4, 13]",8.5
karate,CMS,1.407938957,0.5,0.225966602,0.10954057,0.1575,2,"[3, 8]",5.5,"[4, 13]",8.5
karate,CMS,1.541495085,0.1,1,1,1,2,"[8, 10]",9,"[11, 14]",12.5
football,CMS,1.601642132,0.4,0.828606213,0.495950669,0.467222222,8,"[6, 5, 4, 4, 4, 5, 10, 4]",5.25,"[7, 8, 7, 6, 5, 8, 15, 6]",7.75
football,CMS,1.21437192,0.5,0.828606213,0.495950669,0.467222222,8,"[6, 5, 4, 4, 3, 4, 10, 4]",5,"[7, 8, 7, 6, 5, 7, 15, 6]",7.625
football,CMS,1.616719961,0.6,0.828606213,0.495950669,0.467222222,8,"[6, 4, 4, 4, 3, 4, 10, 4]",4.875,"[7, 7, 7, 6, 5, 7, 15, 6]",7.5
football,CMS,1.4789083,0.2,0.828606213,0.495950669,0.467222222,8,"[6, 5, 4, 4, 4, 6, 11, 4]",5.5,"[6, 8, 7, 6, 5, 9, 15, 6]",7.75
football,CMS,1.065803051,0.1,0.836689363,0.607630064,0.473888889,8,"[7, 5, 6, 7, 6, 6, 10, 5]",6.5,"[7, 9, 7, 13, 9, 6, 14, 6]",8.875
football,CMS,1.712172031,0.3,0.828606213,0.495950669,0.467222222,8,"[6, 5, 4, 4, 4, 5, 10, 4]",5.25,"[7, 8, 7, 6, 5, 8, 15, 6]",7.75
football,CMS,1.60345912,0.8,0.828606213,0.495950669,0.467222222,8,"[5, 4, 4, 4, 3, 4, 10, 4]",4.75,"[7, 7, 7, 6, 5, 7, 15, 6]",7.5
football,CMS,1.270812273,1,0.828606213,0.495950669,0.467222222,8,"[5, 4, 4, 4, 3, 4, 10, 4]",4.75,"[7, 7, 7, 6, 5, 7, 15, 6]",7.5
football,CMS,1.64962101,0.9,0.828606213,0.495950669,0.467222222,8,"[5, 4, 4, 4, 3, 4, 10, 4]",4.75,"[7, 7, 7, 6, 5, 7, 15, 6]",7.5
football,CMS,1.196534157,0,0.733398881,0.456557525,0.201923077,8,"[0, 0, 8, 9, 12, 18, 25, 34]",13.25,"[0, 0, 8, 9, 12, 18, 25, 34]",13.25
football,CMS,1.561300993,0.7,0.828606213,0.495950669,0.467222222,8,"[5, 4, 4, 4, 3, 4, 10, 4]",4.75,"[7, 7, 7, 6, 5, 7, 15, 6]",7.5
syn_dataset,CMS,267.3927779,0.1,0.468526771,0.078028035,0.083002102,38,"[2, 4, 3, 4, 2, 0, 3, 5, 4, 2, 2, 4, 5, 4, 5, 3, 3, 1, 4, 4, 3, 3, 3, 5, 7, 2, 6, 5, 3, 5, 4, 19, 4, 2, 266, 95, 25, 9]",13.94736842,"[2, 5, 4, 4, 2, 0, 4, 5, 4, 2, 3, 6, 5, 4, 6, 5, 3, 1, 6, 5, 3, 5, 4, 6, 7, 3, 11, 6, 4, 8, 4, 21, 6, 2, 268, 101, 27, 15]",15.18421053mexican,CMS,0.165159941,0.2,0.222065362,0.198617812,0.466666667,3,"[6, 5, 6]",5.666666667,"[8, 6, 7]",7
mexican,CMS,0.296905041,0.5,0.223707263,0.193198104,0.453333333,3,"[6, 5, 7]",6,"[8, 6, 8]",7.333333333
mexican,CMS,0.315395117,0.7,0.183562358,0.14606816,0.43,3,"[5, 5, 6]",5.333333333,"[7, 6, 7]",6.666666667
mexican,CMS,0.327883959,0.6,0.183562358,0.14606816,0.43,3,"[5, 5, 6]",5.333333333,"[7, 6, 7]",6.666666667
mexican,CMS,0.323778152,0.4,0.223707263,0.193198104,0.453333333,3,"[6, 5, 7]",6,"[8, 6, 8]",7.333333333
mexican,CMS,0.296232224,0.1,0.222065362,0.198617812,0.466666667,3,"[6, 6, 8]",6.666666667,"[8, 7, 9]",8
mexican,CMS,0.159738064,0.8,0.183562358,0.14606816,0.43,3,"[5, 5, 6]",5.333333333,"[7, 6, 7]",6.666666667
