date_time, data, sampling_method, input_dim, hidden_dim_gcn, hidden_dim_fc, output_dim, num_gcn_layer, num_fc_layer, sampled_nodes_count, learning_rate, epochs, final_train_loss, test_loss
2024-08-15 17:50,karate,random,10,"[16, 16]",[32],1,2,2,17,0.01,1000,1.9096041917800903,6.857877254486084
2024-08-15 19:27,karate,random,10,"[16, 16]",[32],1,2,2,17,0.01,1000,1.0118645429611206,24.745830535888672
2024-08-16 00:23,karate,random,10,"(16, 16)","(32,)",1,2,2,17,0.001,50,11.657183647155762,15.688393592834473
2024-08-16 00:23,karate,random,10,"(16, 16)","(64,)",1,2,2,17,0.001,50,12.496707916259766,15.747709274291992
2024-08-16 00:23,karate,random,10,"(16, 16)","(128,)",1,2,2,17,0.001,50,12.500584602355957,16.26207733154297
2024-08-16 00:23,karate,random,10,"(16, 16)","(256,)",1,2,2,17,0.001,50,12.287086486816406,15.541927337646484
2024-08-16 00:23,karate,random,10,"(16, 16)","(32, 32)",1,2,3,17,0.001,50,15.165523529052734,16.70134162902832
2024-08-16 00:23,karate,random,10,"(16, 16)","(32, 64)",1,2,3,17,0.001,50,12.4059419631958,16.02349281311035
2024-08-16 00:23,karate,random,10,"(16, 16)","(32, 128)",1,2,3,17,0.001,50,13.008808135986328,15.529272079467773
2024-08-16 00:23,karate,random,10,"(16, 16)","(32, 256)",1,2,3,17,0.001,50,8.670114517211914,14.76111125946045
2024-08-16 00:23,karate,random,10,"(16, 16)","(64, 32)",1,2,3,17,0.001,50,13.050328254699707,15.730714797973633
2024-08-16 00:23,karate,random,10,"(16, 16)","(64, 64)",1,2,3,17,0.001,50,10.523234367370605,14.965156555175781
2024-08-16 00:23,karate,random,10,"(16, 16)","(64, 128)",1,2,3,17,0.001,50,8.733564376831055,14.639863967895508
2024-08-16 00:23,karate,random,10,"(16, 16)","(64, 256)",1,2,3,17,0.001,50,9.189581871032715,14.714225769042969
2024-08-16 00:23,karate,random,10,"(16, 16)","(128, 32)",1,2,3,17,0.001,50,11.679951667785645,15.272285461425781
2024-08-16 00:23,karate,random,10,"(16, 16)","(128, 64)",1,2,3,17,0.001,50,9.055593490600586,14.83411979675293
2024-08-16 00:23,karate,random,10,"(16, 16)","(128, 128)",1,2,3,17,0.001,50,8.779520034790039,15.101192474365234
2024-08-16 00:23,karate,random,10,"(16, 16)","(128, 256)",1,2,3,17,0.001,50,7.837169647216797,15.048665046691895
