_,,,,,,,,,,,,
karate,CMS,0.436351061,0.4314816,0.5,0.225966602,0.10954057,0.1575,2,"[10, 3]",6.5,"[0.012870464277665238, 0.3166666666666667]","[0.005488874471357234, 0.2638888888888889]"
karate,CMS,0.43006587,0.428376198,0.6,0.257814063,0.105838105,0.15375,2,"[9, 6]",7.5,"[0.031635802469135874, 0.1904761904761905]","[0.01708333333333337, 0.12121212121212123]"
karate,CMS,0.429935932,0.427732229,0.7,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.032410694162722714, 0.3166666666666667]","[0.013822207804690569, 0.2638888888888889]"
karate,CMS,0.428704262,0.42661643,0.8,0.225966602,0.10954057,0.1575,2,"[8, 3]",5.5,"[0.024821106603561117, 0.3166666666666667]","[0.010585471933871653, 0.2638888888888889]"
karate,CMS,0.438624382,0.437198877,0.9,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.032410694162722714, 0.3166666666666667]","[0.013822207804690569, 0.2638888888888889]"
karate,CMS,0.435475349,0.43398571,1,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.032410694162722714, 0.3166666666666667]","[0.013822207804690569, 0.2638888888888889]"
mexican,CMS,0.428164244,0.424705505,0,0.162428046,0.140808651,0.466666667,3,"[11, 17, 1]",9.666666667,"[0.023809523809523902, 0.16595223948165158, 0.19047619047619058]","[0.011520737327188986, 0.05431164201217688, 0.38095238095238115]"
mexican,CMS,0.43742156,0.435075998,0.1,0.231825254,0.230365277,0.49,3,"[7, 13, 5]",8.333333333,"[0.19375000000000006, -0.012867647058823511, 0.2431972789115649]","[0.08017241379310347, -0.005021520803443321, 0.12159863945578245]"
mexican,CMS,0.43747139,0.434678078,0.2,0.176579786,0.170310165,0.46,3,"[5, 15, 4]",8,"[0.36851851851851847, 0.05477810373321242, 0.24914965986394597]","[0.17456140350877192, 0.01963743341379313, 0.12457482993197298]"
mexican,CMS,0.43370676,0.430628777,0.3,0.168346541,0.168395248,0.47,3,"[7, 11, 3]",7,"[0.15586734693877552, 0.175874936950305, 0.18333333333333363]","[0.07039170506912443, 0.05742855084091592, 0.13095238095238118]"
mexican,CMS,0.432426691,0.429686785,0.4,0.154143607,0.087784879,0.0975,3,"[10, 2, 3]",5,"[0.017989173136232044, 0.3277777777777778, 0.18333333333333363]","[0.005782234222360299, 0.3277777777777778, 0.13095238095238118]"
mexican,CMS,0.443365335,0.436345577,0.5,0.166018693,0.049908269,0.093333333,3,"[10, 2, 5]",5.666666667,"[0.0734838078588081, 0.3277777777777778, 0.2556547619047622]","[0.02672138467593022, 0.3277777777777778, 0.12030812324929986]"
mexican,CMS,0.428883314,0.426725149,0.6,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
mexican,CMS,0.439113379,0.435756207,0.7,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
mexican,CMS,0.432660818,0.429483175,0.8,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333,"[0.10416666666666669, 0.3277777777777778, 0.09034090909090929]","[0.05208333333333334, 0.3277777777777778, 0.028299561883899295]"
mexican,CMS,0.442061424,0.434492826,0.9,0.247165942,0.313419706,0.093333333,3,"[4, 2, 9]",5,"[0.10416666666666669, 0.3277777777777778, 0.15432197892605168]","[0.05208333333333334, 0.3277777777777778, 0.048341824723823416]"
