data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg
mexican,CMS,0.433110714,0.429478407,1,0.247165942,0.313419706,0.093333333,3,"[4, 2, 10]",5.333333333
dolphin,CMS,0.434159994,0.431178331,0,0.846834704,0.91580545,0.646666667,3,"[33, 12, 0]",15
dolphin,CMS,0.432269812,0.427706242,0.1,0.445826879,0.296482843,0.49,3,"[13, 16, 13]",14
dolphin,CMS,0.440030336,0.436233521,0.2,0.740150919,0.586278148,0.593333333,3,"[20, 10, 12]",14
dolphin,CMS,0.440347195,0.434155464,0.3,0.744676314,0.598963856,0.6,3,"[21, 9, 9]",13
dolphin,CMS,0.442905426,0.432741642,0.4,0.763503613,0.649096581,0.616666667,3,"[20, 9, 5]",11.33333333
dolphin,CMS,0.437577486,0.433291197,0.5,0.526612167,0.598330067,0.546666667,3,"[17, 7, 2]",8.666666667
dolphin,CMS,0.442660093,0.433297873,0.6,0.526612167,0.598330067,0.546666667,3,"[18, 7, 2]",9
dolphin,CMS,0.441933632,0.438098669,0.7,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667
dolphin,CMS,0.433532476,0.427761078,0.8,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667
dolphin,CMS,0.433102846,0.428942442,0.9,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667
dolphin,CMS,0.44446826,0.437051296,1,0.44627261,0.495582997,0.51,3,"[18, 6, 2]",8.666666667
polbooks,CMS,0.450994015,0.441627979,0,0.477435287,0.579027537,0.173333333,5,"[51, 42, 0, 0, 5]",19.6
polbooks,CMS,0.463500738,0.449513435,0.1,0.346154548,0.359164606,0.16,5,"[20, 19, 1, 2, 4]",9.2
polbooks,CMS,0.456547737,0.444664001,0.2,0.516745862,0.602894536,0.3315,5,"[4, 16, 17, 5, 2]",8.8
polbooks,CMS,0.463930368,0.448500633,0.3,0.466176678,0.553931559,0.167111111,5,"[4, 15, 13, 2, 2]",7.2
polbooks,CMS,0.4655056,0.451278687,0.4,0.277149095,0.205403841,0.132444444,5,"[4, 8, 21, 5, 2]",8
polbooks,CMS,0.452597857,0.440310001,0.5,0.21728035,0.087638704,0.027555556,5,"[4, 5, 23, 5, 2]",7.8
polbooks,CMS,0.466063261,0.452435017,0.6,0.21074992,0.081808135,0.027777778,5,"[4, 5, 23, 3, 5]",8
polbooks,CMS,0.454723835,0.44483304,0.7,0.21074992,0.081808135,0.027777778,5,"[4, 5, 23, 3, 5]",8
polbooks,CMS,0.456454992,0.445420265,0.8,0.186288762,0.067725962,0.028222222,5,"[4, 4, 24, 3, 5]",8
polbooks,CMS,0.458513021,0.444218874,0.9,0.228256682,0.098987239,0.028666667,5,"[4, 23, 6, 4, 2]",7.8
polbooks,CMS,0.453204393,0.441038847,1,0.228256682,0.098987239,0.028666667,5,"[4, 23, 6, 4, 2]",7.8
football,CMS,0.458697319,0.445355177,0,0.429475917,0.191065448,0.048452381,8,"[0, 45, 0, 0, 1, 0, 21, 39]",13.25
football,CMS,0.46052146,0.444951296,0.1,0.777051023,0.398462242,0.439444444,8,"[13, 7, 6, 7, 6, 5, 4, 5]",6.625
football,CMS,0.467005253,0.447659254,0.2,0.8200055,0.499685764,0.464444444,8,"[10, 6, 4, 6, 6, 6, 4, 4]",5.75
football,CMS,0.454285145,0.440621138,0.3,0.8200055,0.499685764,0.464444444,8,"[10, 6, 4, 7, 6, 5, 4, 4]",5.75
football,CMS,0.45566678,0.442167759,0.4,0.81428801,0.521603705,0.459444444,8,"[9, 6, 4, 8, 6, 5, 4, 4]",5.75
football,CMS,0.465325832,0.448367596,0.5,0.759407002,0.449152767,0.311354167,8,"[8, 6, 4, 7, 6, 4, 3, 4]",5.25
football,CMS,0.466100454,0.450085163,0.6,0.838239916,0.58007946,0.475,8,"[10, 6, 4, 5, 7, 3, 5, 4]",5.5
football,CMS,0.469861507,0.456435204,0.7,0.825709482,0.525716853,0.458888889,8,"[10, 5, 4, 5, 6, 4, 6, 4]",5.5
football,CMS,0.472938299,0.45974803,0.8,0.825709482,0.525716853,0.458888889,8,"[10, 5, 4, 5, 6, 4, 6, 4]",5.5
football,CMS,0.471314669,0.4549613,0.9,0.768829909,0.408407704,0.408205128,8,"[11, 5, 3, 4, 5, 6, 6, 4]",5.5
football,CMS,0.456054688,0.437343359,1,0.768829909,0.408407704,0.408205128,8,"[11, 5, 3, 4, 5, 6, 6, 4]",5.5
