data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg
scalability_1000,CMS,1.5064406394958496,0.761744499206543,0.0,0.14800762337413814,0.02747681580946917,0.0004684210526315789,38,"[268, 688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25.18421052631579
scalability_1000,CMS,1.908231496810913,0.7453696727752686,0.1,0.4111752566085257,0.04881290900064662,0.040981359649122806,38,"[14, 318, 3, 34, 2, 4, 22, 1, 1, 25, 3, 41, 3, 4, 4, 2, 5, 4, 5, 2, 0, 3, 4, 1, 4, 5, 4, 4, 1, 2, 3, 1, 1, 13, 2, 2, 4, 3]",14.578947368421053
scalability_1000,CMS,2.035628318786621,0.7741031646728516,0.2,0.4132859905904226,0.08964971928070421,0.051632858187134506,38,"[10, 10, 236, 3, 24, 3, 141, 1, 1, 3, 3, 4, 4, 5, 2, 4, 17, 5, 2, 12, 2, 0, 3, 3, 5, 5, 7, 4, 4, 2, 2, 3, 1, 1, 1, 2, 4, 2]",14.236842105263158
scalability_1000,CMS,1.9019086360931396,0.7570695877075195,0.3,0.414827225943312,0.07441420386141805,0.06277894736842106,38,"[9, 10, 250, 3, 25, 3, 122, 1, 1, 3, 3, 5, 4, 4, 14, 5, 2, 4, 16, 6, 11, 2, 0, 3, 6, 1, 3, 1, 5, 5, 5, 4, 2, 3, 1, 1, 2, 2]",14.394736842105264
scalability_1000,CMS,2.059720754623413,0.7966897487640381,0.4,0.4378048159828593,0.05037796118751142,0.04175804093567252,38,"[9, 8, 328, 3, 23, 3, 1, 1, 10, 3, 3, 5, 4, 4, 15, 5, 2, 4, 16, 5, 2, 12, 0, 3, 7, 1, 4, 5, 6, 5, 4, 2, 2, 3, 1, 1, 2, 3]",13.552631578947368
scalability_1000,CMS,1.9242403507232666,0.7483038902282715,0.5,0.4375387309731291,0.05710424770609871,0.05257264254385966,38,"[9, 8, 278, 3, 23, 3, 93, 1, 10, 3, 3, 5, 4, 4, 14, 5, 2, 4, 15, 6, 2, 10, 2, 0, 3, 7, 4, 5, 6, 5, 4, 2, 2, 3, 1, 3, 2, 2]",14.631578947368421
scalability_1000,CMS,1.5664424896240234,0.6377749443054199,0.6,0.4010171036584301,0.05450820974095378,0.06342105263157895,38,"[9, 8, 248, 3, 23, 122, 3, 1, 10, 3, 3, 4, 4, 5, 2, 4, 15, 5, 2, 10, 2, 0, 3, 7, 1, 4, 5, 6, 5, 4, 2, 2, 3, 1, 2, 3, 4, 2]",14.210526315789474
scalability_1000,CMS,1.3642094135284424,0.5504415035247803,0.7,0.4325262425409702,0.07304519647127554,0.07553114035087719,38,"[9, 8, 247, 3, 23, 118, 3, 1, 10, 3, 3, 4, 4, 14, 5, 2, 4, 14, 5, 2, 7, 12, 2, 0, 3, 8, 4, 5, 6, 5, 4, 2, 2, 1, 3, 2, 3, 4]",14.605263157894736
scalability_1000,CMS,1.4782919883728027,0.5824437141418457,0.8,0.4319378036380476,0.07519801180787569,0.07612412280701754,38,"[10, 8, 256, 3, 12, 3, 111, 1, 8, 3, 3, 4, 4, 26, 14, 2, 5, 2, 4, 6, 2, 13, 2, 0, 3, 7, 1, 3, 1, 6, 5, 4, 2, 2, 1, 2, 3, 4]",14.368421052631579
scalability_1000,CMS,1.3378682136535645,0.5283913612365723,0.9,0.45214731804439184,0.08121864477946562,0.09483004385964912,38,"[9, 8, 270, 3, 69, 1, 41, 3, 3, 4, 4, 11, 2, 5, 2, 4, 5, 2, 11, 2, 0, 3, 6, 3, 1, 5, 5, 4, 2, 2, 3, 7, 1, 3, 2, 5, 3, 4]",13.631578947368421
