data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg,orc_node,orc_edge
karate,CMS,0.42529726,0.422886372,0.4,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.0009677146720758153, 0.3166666666666667]","[0.00041270184544409767, 0.2638888888888889]"
karate,CMS,0.420703888,0.417611122,0.5,0.225966602,0.10954057,0.1575,2,"[10, 3]",6.5,"[0.012870464277665238, 0.3166666666666667]","[0.005488874471357234, 0.2638888888888889]"
karate,CMS,0.424218416,0.421010494,0.6,0.257814063,0.105838105,0.15375,2,"[9, 6]",7.5,"[0.031635802469135874, 0.1904761904761905]","[0.01708333333333337, 0.12121212121212123]"
karate,CMS,0.41772151,0.413264513,0.7,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.032410694162722714, 0.3166666666666667]","[0.013822207804690569, 0.2638888888888889]"
karate,CMS,0.43132329,0.42737484,0.8,0.225966602,0.10954057,0.1575,2,"[8, 3]",5.5,"[0.024821106603561117, 0.3166666666666667]","[0.010585471933871653, 0.2638888888888889]"
karate,CMS,0.42341423,0.421976805,0.9,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.032410694162722714, 0.3166666666666667]","[0.013822207804690569, 0.2638888888888889]"
karate,CMS,0.418869734,0.416392088,1,0.225966602,0.10954057,0.1575,2,"[9, 3]",6,"[0.032410694162722714, 0.3166666666666667]","[0.013822207804690569, 0.2638888888888889]"
mexican,CMS,0.423992634,0.418435812,0,0.162428046,0.140808651,0.466666667,3,"[11, 17, 1]",9.666666667,"[0.023809523809523902, 0.16595223948165158, 0.19047619047619058]","[0.011520737327188986, 0.05431164201217688, 0.38095238095238115]"
mexican,CMS,0.433360577,0.427435398,0.1,0.231825254,0.230365277,0.49,3,"[7, 13, 5]",8.333333333,"[0.19375000000000006, -0.012867647058823511, 0.2431972789115649]","[0.08017241379310347, -0.005021520803443321, 0.12159863945578245]"
mexican,CMS,0.432168007,0.425674677,0.2,0.176579786,0.170310165,0.46,3,"[5, 15, 4]",8,"[0.36851851851851847, 0.05477810373321242, 0.24914965986394597]","[0.17456140350877192, 0.01963743341379313, 0.12457482993197298]"
mexican,CMS,0.436771393,0.429503202,0.3,0.168346541,0.168395248,0.47,3,"[7, 11, 3]",7,"[0.15586734693877552, 0.175874936950305, 0.18333333333333363]","[0.07039170506912443, 0.05742855084091592, 0.13095238095238118]"
